ландшафтное проектирование среды
компьютерное проектирование элементов и систем среды
проектирование в графическом дизайне
моделирование
начертательная геометрия и технический рисунок
основы проектной графики
организация проектной деятельности
моделирование
дискретная математика
теория игр и исследование операций
основы технологий хранения данных
распределенные алгоритмы
функциональное программирование
логическое программирование
математические пакеты
теория принятия решений
